17,14,9,10,0,17
14,0,17,29,10,14
7,5,4,15,2,-1
17,22,9,15,14,17
17,14,9,10,0,17
14,0,17,10,29,14
33,35,39,36,37,33
17,22,14,9,10,17
17,14,9,10,22,17
11,21,5,3,1,-1
14,0,17,29,10,14
14,0,17,29,10,14
40,38,37,39,35,-1
40,37,38,39,2,-1
17,14,22,9,10,17
11,21,2,5,7,-1
11,30,5,10,3,-1
37,39,40,38,33,-1
17,22,9,15,14,17
40,38,37,2,35,-1
40,38,37,39,2,-1
40,38,37,39,2,-1
40,38,39,37,2,-1
14,0,17,10,29,14
13,15,9,4,14,13
14,0,17,10,29,14
40,37,39,38,35,-1
40,38,39,37,2,-1
17,14,9,10,0,17
12,25,2,40,13,-1
40,38,37,39,2,-1
40,37,39,38,33,-1
40,38,37,39,35,-1
14,0,17,29,10,14
17,14,9,10,22,17
13,15,9,14,4,13
17,14,9,10,22,17
39,37,40,38,33,-1
14,0,17,10,29,14
17,9,22,14,10,17
11,30,28,5,3,-1
33,35,39,36,37,33
40,38,39,37,2,-1
13,15,9,14,4,13
14,17,0,10,29,14
40,37,38,39,35,-1
17,14,10,9,0,17
39,40,37,38,33,-1
13,15,9,4,14,13
11,5,42,10,9,-1
14,0,17,10,29,14
11,5,3,10,7,-1
17,14,9,10,22,17
40,38,37,2,39,-1
10,11,15,9,18,-1
17,14,10,0,9,17
39,37,38,40,33,-1
14,0,17,29,10,14
14,0,17,29,10,14
40,38,37,39,35,-1
14,0,17,29,10,14
12,13,25,2,14,-1
17,14,0,10,9,17
1,15,7,4,2,-1
17,14,10,9,0,17
5,11,42,3,9,-1
14,0,17,10,29,14
17,14,10,0,9,17
14,0,17,29,10,14
14,0,17,10,29,14
14,0,17,29,10,14
40,38,37,2,39,-1
40,38,37,39,35,-1
13,15,9,14,4,13
40,38,37,39,2,-1
33,35,36,39,38,33
14,0,17,29,10,14
39,40,37,38,33,-1
12,13,25,2,14,-1
17,14,9,10,16,17
17,22,9,14,15,17
14,0,17,29,10,14
33,35,36,39,38,33
14,0,17,10,29,14
12,25,40,2,13,14
40,38,37,39,2,-1
37,39,40,38,33,-1
33,35,36,39,38,33
12,13,25,2,14,-1
17,14,9,10,0,17
12,25,2,13,40,-1
14,17,0,10,29,14
12,25,40,2,13,-1
2,7,4,5,1,-1
11,5,3,10,7,-1
40,38,37,39,35,-1
14,17,0,29,10,14
7,5,3,4,2,-1
17,14,9,10,0,17
33,35,39,36,37,33
17,14,9,10,22,17
17,14,9,10,22,17
13,15,9,4,14,13
17,14,9,10,0,17
33,35,39,36,37,33
40,37,38,39,2,-1
40,38,2,37,35,-1
14,0,17,29,10,14
14,0,17,10,29,14
14,0,17,10,29,14
11,5,3,2,7,-1
14,0,17,29,10,14
14,0,17,29,10,14
11,5,3,10,7,-1
40,37,38,39,35,-1
14,17,0,10,29,14
37,40,38,39,35,-1
39,37,40,38,33,-1
40,38,37,2,39,-1
40,37,38,39,35,-1
12,13,25,2,26,-1
12,25,13,2,40,-1
11,5,3,1,21,-1
14,0,17,29,10,14
11,5,3,1,7,-1
40,38,37,39,35,-1
14,0,17,10,29,14
40,37,38,39,35,-1
17,9,14,16,10,17
14,0,17,29,10,14
17,14,9,10,22,17
14,0,1,17,10,14
14,0,17,29,10,14
11,5,10,3,9,-1
17,22,15,9,26,17
15,1,7,4,5,-1
33,35,39,36,37,33
40,38,37,39,35,-1
10,5,2,7,4,-1
40,38,37,39,2,-1
12,25,13,2,40,-1
12,13,25,14,26,-1
38,40,34,39,36,-1
14,0,17,10,29,14
40,38,39,37,2,-1
13,15,9,4,14,13
33,35,39,36,37,33
14,17,0,10,29,14
11,5,3,1,21,-1
14,0,17,10,5,14
14,17,0,10,29,14
14,0,17,10,29,14
15,1,26,4,11,-1
33,35,36,39,38,33
11,5,3,7,42,-1
12,25,13,14,2,-1
33,35,36,39,38,33
33,35,39,36,37,33
5,11,3,2,1,-1
39,37,40,38,33,-1
40,38,37,39,2,-1
13,15,9,4,14,13
14,0,17,10,29,14
11,21,30,3,28,-1
17,14,10,9,0,17
40,38,2,37,39,-1
33,35,39,36,37,33
40,38,37,39,35,-1
17,9,16,10,14,17
14,0,17,29,10,14
11,30,21,28,3,-1
39,40,37,38,33,-1
17,14,9,10,0,17
5,11,3,7,2,-1
12,25,13,2,40,-1
40,38,34,37,39,-1
14,0,17,29,10,14
12,25,40,2,13,-1
14,0,17,29,1,14
14,0,17,29,10,14
40,38,37,35,39,-1
14,0,17,1,10,14
11,10,5,3,30,-1
40,38,37,2,35,-1
15,9,1,10,11,-1
40,38,37,39,35,-1
13,15,9,4,14,13
17,14,9,16,10,17
17,14,10,9,22,17
12,13,25,2,40,-1
17,14,10,0,9,17
